Checking download URLs
The following files will be downloaded: 

run_accession study_accession experiment_accession public_url                                                                                                  download_url                                                                                            out_dir                                                                                  filesize
SRR18511715   SRP366403       SRX14642894                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511715/SRR18511715 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511715/SRR18511715.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 13.7 GB 
SRR18511716   SRP366403       SRX14642895                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511716/SRR18511716 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511716/SRR18511716.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 15.4 GB 
SRR18511717   SRP366403       SRX14642896                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511717/SRR18511717 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511717/SRR18511717.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 32.4 GB 
SRR18511718   SRP366403       SRX14642897                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511718/SRR18511718 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511718/SRR18511718.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 12.1 GB 
SRR18511719   SRP366403       SRX14642898                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511719/SRR18511719 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511719/SRR18511719.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 27.9 GB 
SRR18511720   SRP366403       SRX14642899                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511720/SRR18511720 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511720/SRR18511720.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 10.7 GB 
SRR18511721   SRP366403       SRX14642900          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18511/SRR18511721/SRR18511721.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511721/SRR18511721.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 23.2 GB 
SRR18511722   SRP366403       SRX14642901          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18511/SRR18511722/SRR18511722.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511722/SRR18511722.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 12.9 GB 
SRR18511723   SRP366403       SRX14642902                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511723/SRR18511723 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511723/SRR18511723.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 29.7 GB 
SRR18511724   SRP366403       SRX14642903                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511724/SRR18511724 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511724/SRR18511724.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 17.4 GB 
