file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642892/SRR18511712_2.fastq.gz	FASTQ	DNA	405302329	60795349350	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642893/SRR18511713_1.fastq.gz	FASTQ	DNA	480652480	24032624000	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642893/SRR18511713_2.fastq.gz	FASTQ	DNA	480652480	7690439680	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642893/SRR18511713_3.fastq.gz	FASTQ	DNA	480652480	24032624000	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642894/SRR18511715_1.fastq.gz	FASTQ	DNA	241419128	6759735584	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642894/SRR18511715_2.fastq.gz	FASTQ	DNA	241419128	36212869200	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642895/SRR18511716_1.fastq.gz	FASTQ	DNA	396007712	19800385600	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642895/SRR18511716_2.fastq.gz	FASTQ	DNA	396007712	6336123392	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642895/SRR18511716_3.fastq.gz	FASTQ	DNA	396007712	19800385600	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642896/SRR18511717_1.fastq.gz	FASTQ	DNA	542450493	15188613804	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642896/SRR18511717_2.fastq.gz	FASTQ	DNA	542450493	81367573950	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642897/SRR18511718_1.fastq.gz	FASTQ	DNA	320694424	16034721200	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642897/SRR18511718_2.fastq.gz	FASTQ	DNA	320694424	5131110784	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642897/SRR18511718_3.fastq.gz	FASTQ	DNA	320694424	16034721200	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642898/SRR18511719_1.fastq.gz	FASTQ	DNA	469015244	13132426832	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642898/SRR18511719_2.fastq.gz	FASTQ	DNA	469015244	70352286600	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642899/SRR18511720_1.fastq.gz	FASTQ	DNA	282925620	14146281000	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642899/SRR18511720_2.fastq.gz	FASTQ	DNA	282925620	4526809920	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642899/SRR18511720_3.fastq.gz	FASTQ	DNA	282925620	14146281000	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642900/SRR18511721_1.fastq.gz	FASTQ	DNA	518728711	14524403908	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642900/SRR18511721_2.fastq.gz	FASTQ	DNA	518728711	77809306650	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642901/SRR18511722_1.fastq.gz	FASTQ	DNA	426488958	21324447900	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642901/SRR18511722_2.fastq.gz	FASTQ	DNA	426488958	6823823328	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642901/SRR18511722_3.fastq.gz	FASTQ	DNA	426488958	21324447900	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642902/SRR18511723_1.fastq.gz	FASTQ	DNA	504448786	14124566008	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642902/SRR18511723_2.fastq.gz	FASTQ	DNA	504448786	75667317900	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642903/SRR18511724_1.fastq.gz	FASTQ	DNA	458348010	22917400500	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642903/SRR18511724_2.fastq.gz	FASTQ	DNA	458348010	7333568160	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642903/SRR18511724_3.fastq.gz	FASTQ	DNA	458348010	22917400500	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642904/SRR18511725_1.fastq.gz	FASTQ	DNA	553404954	15495338712	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642904/SRR18511725_2.fastq.gz	FASTQ	DNA	553404954	83010743100	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642905/SRR18511726_1.fastq.gz	FASTQ	DNA	444787938	22239396900	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642905/SRR18511726_2.fastq.gz	FASTQ	DNA	444787938	7116607008	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642905/SRR18511726_3.fastq.gz	FASTQ	DNA	444787938	22239396900	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642906/SRR18511727_1.fastq.gz	FASTQ	DNA	861681365	24127078220	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642906/SRR18511727_2.fastq.gz	FASTQ	DNA	861681365	129252204750	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642907/SRR18511728_1.fastq.gz	FASTQ	DNA	434913264	21745663200	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642907/SRR18511728_2.fastq.gz	FASTQ	DNA	434913264	6958612224	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642907/SRR18511728_3.fastq.gz	FASTQ	DNA	434913264	21745663200	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642908/SRR18511729_1.fastq.gz	FASTQ	DNA	609071041	17053989148	28	28.0	28
