fastqs,sample,library_type
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642895,Transplanted_SC-Islet_1,Chromatin Accessibility
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642896,Transplanted_SC-Islet_1,Gene Expression
