fastqs,sample,library_type
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642879,SC-Islet_2,Chromatin Accessibility
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642880,SC-Islet_2,Gene Expression
